LAT	LON	A2023	A2022	A2021	A2020	A2019	A2018	A2017	A2016	A2015	A2014	A2013	A2012	A2011	A2010	A2009	A2008	A2007	A2006	A2005	A2004	A2003	A2002	A2001	A2000
4.25	-2.25	43.83	55.42	39.3	36.05	26.55	25.61	45.24	24.34	31.28	47.2	24.77	25.26	40.3	25.73	50.52	30.5	23.8	41.87	27.56	43.56	37.88	39.44	42.88	34.58
4.25	-1.75	46.52	67.57	35.05	40.83	38.19	29.63	42.66	23.44	31.74	47.02	24.21	28.35	40.32	25.63	48.75	34.84	25.56	41.92	28.81	47.68	33.84	40.61	35.88	34.65
4.25	-1.25	47.19	83.31	46.35	43.24	63.76	41.44	65.31	23.07	32.18	48.3	24.48	33.76	41.08	23.94	39.03	33.62	26.18	41.6	29.62	50.96	34.34	38.08	31.51	33.3
4.25	-0.75	39.98	86.76	53.79	40.41	56.21	49.74	63.77	24.47	33.9	46.33	25.3	38.16	42.8	21.05	34.57	31.39	26.81	43.9	28.79	56.41	38.25	41.57	31.31	43.24
4.25	-0.25	37.32	76.19	58.09	43.09	43.76	45.65	52.41	23.87	36.44	41.87	25.16	38.01	42.61	18.44	36.71	28.88	27.36	46.28	26.08	59.56	37.52	49.88	25.06	44.26
4.25	0.25	36.56	59.13	66.68	51.39	66.41	34.22	73.84	37.26	36.44	37.51	24.61	33.98	40.35	18.78	34.52	26.34	29.11	45.69	23.1	57.82	33.77	57.25	23.79	41.44
4.25	0.75	38.63	43.14	73.22	52.51	73.05	29.96	87.64	59.12	35.54	34.88	24.21	29.54	37.31	19.1	29.2	29.13	30.07	41.36	24.35	51.04	30.24	62.65	25.06	40.46
4.25	1.25	42.17	35.77	57.53	56.92	47.23	37.05	67.41	79.8	35.74	34.68	24.54	29.95	36.24	21.57	24.67	33.06	30.74	35.88	25.53	41.54	29.95	67.14	28.47	42.49
4.25	1.75	36.9	37.58	40.53	46.07	64.24	39.21	32.51	51.22	34.92	32.89	23.59	34.84	34.52	25.66	22.09	31.6	29.56	35.52	25.64	33.46	29.14	70.09	31.59	42.17
4.25	2.25	30.67	56.65	54.3	45.33	53.35	44.23	33.38	36.66	34.56	29.72	22.39	35.22	31.1	26.85	27.7	33.52	27.3	33.66	24.57	29.26	30.58	64.8	41.09	37.73
