LAT	LON	A2023	A2022	A2021	A2020	A2019	A2018	A2017	A2016	A2015	A2014	A2013	A2012	A2011	A2010	A2009	A2008	A2007	A2006	A2005	A2004	A2003	A2002	A2001	A2000
6.75	5.75	59.92	43.04	52.05	85.99	187.25	96.52	128	52.69	27.34	13.83	42.16	26.19	41.5	64.1	32.09	31.38	102.8	72.07	45.01	27.59	90.08	56.19	39.29	66.68
6.75	6.25	50.49	40.14	79.02	96.49	111.24	104.98	101.81	40.83	40.95	15.31	49.58	24.66	42.86	60.15	30.34	27.16	122.28	67.31	40.35	25.48	95.62	48.11	40.75	68.78
6.75	6.75	46.26	58.32	91.84	106.25	63.86	99.95	121.32	44.1	64.09	19.74	49.73	22.76	43.55	56.63	30.92	25.76	119.91	64.8	34.65	24.52	91.64	39.25	40.97	66.09
6.75	7.25	41.34	51.81	64.29	107.71	49.37	94.95	111.13	38.72	61.4	27.4	40.59	20.67	40.56	46.99	28.84	22.5	103.66	57.45	32.9	28.61	74.45	40.1	40.76	65.12
6.75	7.75	36.37	48.06	28.93	78.03	47.52	62.41	76.72	28.88	43.96	31.88	27.27	22.03	34.65	33.7	23.4	23	79.06	47.22	33.77	31.2	50.24	43.38	40.37	71.26
6.75	8.25	43.31	39.36	17.99	42.47	33.96	47.75	44.66	29.04	38.16	31.19	24.59	24.23	29.49	32.34	27.2	23.67	54.76	37.78	32.17	30.99	33.29	46.69	46.28	67.61
6.75	8.75	35.79	47.19	19.61	76.64	30.12	75.32	45.17	43.51	43.14	27.8	23.99	27.18	31.78	31.71	31.22	24.94	42.51	38.71	34.12	36.96	44.18	47.96	52.83	75.1
6.75	9.25	35.04	87.89	28.7	85.36	45.15	61.32	69.71	48.71	43.23	22.11	29.45	26.52	32.79	34	30.46	27.19	39.11	36.53	36.66	44.6	48.6	53.61	61.1	83.11
6.75	9.75	40.63	88.59	31.7	61.54	43.68	54.83	67.85	60.96	50.54	25.32	27.99	29.5	35.25	30.31	30.61	26.83	36.9	38.36	37.42	45.64	40.33	50.02	56.95	88.03
6.75	10.25	37.81	65.68	40.97	65.54	44.52	58.27	67.44	54.13	54.09	31.74	25.76	33.11	32.38	25.83	33.79	31.18	41.2	37.91	48.37	39.95	36.48	48.28	47.07	89.16
6.75	10.75	30.38	64.26	32.21	58.82	44.38	73.76	63.41	42.35	46.93	33.03	29.32	30.07	27.83	30.27	29.61	27.52	44.35	38.4	46.1	38.27	37.91	50.38	34.74	71.53
7.25	-16.75	65.4	123.86	75	69.05	43.26	72.58	179.41	46.41	80.56	33.41	67.6	37.88	54.46	69.14	32.16	60.56	48.86	66.2	47.41	42.72	40.38	54.23	46.14	47.71
7.25	-16.25	64.59	146.57	73.46	60.65	49.66	54.72	205.07	44.18	56.32	36.74	53.37	38.62	51.92	70.68	32.48	52.75	50.58	69.25	54.82	36.61	41.25	57.51	51.6	43.67
7.25	-15.75	60.76	139.72	56.33	59.09	65.4	57.52	109.55	37.57	45.32	41.77	50.18	53.1	53.23	62.24	39.06	48.76	48.05	75.02	63.11	36.18	36.02	55.17	62.07	49.59
7.25	-15.25	90.91	93	70.74	70.84	90.68	83.69	77.09	71.82	54.02	42.75	54.41	65.87	51.67	55.2	48.04	51.91	46.95	76	65.72	37.49	36.51	51.08	77.34	51.06
7.25	-14.75	95.44	83.41	97.83	81	93.28	98.03	112.08	105.93	71.66	43.72	60.55	73.59	49.1	59.4	53.49	57.06	47.37	71.89	64.91	36.08	36.32	46.92	88.76	50.26
7.25	-14.25	80.35	92.94	111.47	107.51	124.99	80.41	164.21	174.91	92.8	50.4	65.03	75.94	45.13	66.57	57.14	65.98	50.35	62.71	61.28	38.72	34.67	42.74	99.37	48.13
7.25	-13.75	127.94	107.38	147.13	201.8	193.16	94	183.74	292.37	122.42	61.55	69.6	73.36	41.23	74.82	66.98	82.44	57.91	66.07	62.19	50.83	35.83	40.2	114.96	60.01
7.25	-13.25	104.11	132.41	198.08	382.09	211.13	131.13	152.32	353.24	105.46	64.16	75.39	69.35	35.7	69.58	73.76	67.11	63.07	57.12	52.1	69.24	35.01	35.04	85.59	57.74
7.25	-12.75	57.04	125.39	201.48	324.02	200.61	328.73	132.29	346.41	107.1	73.48	82.25	77.65	28.69	68.47	97.82	62.51	44.99	33.74	31.73	57.57	21.09	31.58	46.88	53.95
7.25	-12.25	57.68	125.3	198.62	319.01	218.49	395.15	139.99	348.16	113.14	76.02	80.88	73.01	34.63	70.67	112.39	87.96	26.43	30.01	18.79	37.47	16.14	30.08	47.11	68.28
7.25	-11.75	56.89	128.67	209.17	363.42	227.7	378.51	145.41	354.95	112.79	72.03	78.93	64.68	36.28	80.97	113.51	100.49	21.61	38.55	17.76	36.9	16.68	34.81	48.25	77.74
7.25	-11.25	45.09	134.43	231.19	158.58	361.2	620.36	106.8	244.89	138.52	75.47	78.07	67.02	37.37	76.44	115.26	92.81	20.55	34.23	16.79	35.56	15.44	30.52	49.8	71.81
7.25	-10.75	43.66	119.1	265.8	103.26	432.31	694.17	88.44	196.68	154.95	67.54	75.19	77.75	36.37	95.55	108.38	92.27	21.17	41.72	17.87	37.9	17.55	38.97	43.56	78.22
7.25	-10.25	70.1	131.22	185.99	124.03	306.8	537.27	57.69	176.74	127.31	59.13	56.44	74.99	30.59	89.88	86.86	81.12	24.06	39.62	16.02	40.33	17.7	33.98	47.34	68.23
7.25	-9.75	84.19	170.86	112.28	98.59	158.84	310.55	73.62	120.95	80.28	51.07	46.46	71.55	34.08	56.86	52.02	70.1	27.25	32.86	21.14	40.41	23.34	38.21	53.33	51.03
7.25	-9.25	79.88	215.24	84.14	95.91	95.35	135.7	72.17	74.09	90.53	47.32	47	66.14	47.66	37.26	35.59	64.72	27.78	25.3	22.97	36.67	28.77	44.14	51.38	38.63
7.25	-8.75	54.55	163.76	70.31	69.71	99.48	114.96	60.91	59.51	61.38	42.44	53.86	81.73	56.63	33.53	39.49	65.23	25.68	19.72	18.67	29.75	28.33	38.71	46.54	35.91
7.25	-8.25	59.95	92.36	47.84	113.23	64.11	81.72	72.83	54.39	38.86	44.58	57.01	79.17	55.73	33.8	41.18	66.01	25.59	20.62	20.99	30.61	29.21	40.36	48.33	36.35
7.25	-7.75	56.21	102.83	49.65	110.67	69.71	94.28	65.51	52.83	34.29	37.21	50.84	69.89	49.12	31.76	35.66	59.74	27.95	20.18	19.47	27.44	26.29	36.35	40.46	32.13
7.25	-7.25	55.81	98.83	44.38	111.81	63.12	78.64	64.05	49.98	31.74	33.73	37.04	53.53	37.74	26.99	24.96	43.62	31.9	27.57	20.63	22.37	23.52	29.87	27.16	25.4
7.25	-6.75	55.28	77.66	51.63	116.67	45.22	45	58.85	58.02	33.63	33.59	39.84	35.28	25.3	26.38	25.79	37.14	34.99	32.02	25.86	25.06	29.7	22.9	18.04	24.18
7.25	-6.25	59.63	84.26	58.79	75.09	49.85	61.11	46.64	69.62	25.85	36.77	34.98	25.96	18.23	30.62	32.03	28.29	33.21	28.3	31.39	31.23	25.7	20.22	16.73	22.44
7.25	-5.75	49.21	110.34	60.11	51.07	46.71	45.51	32.81	46.82	32.82	34.09	29.26	23.7	18.75	31.59	46.57	32.06	32.98	21.82	31.72	25.85	19.62	20.81	14.45	19.95
7.25	-5.25	41.39	99.8	95.02	27.83	79.74	47.31	33.18	45.1	42.08	31.71	26.61	23.5	21.7	30.52	55.65	33.36	33.59	18.88	31.64	22.28	19.45	24.11	13.58	21.29
7.25	-4.75	51.93	63.26	110.31	30.48	90.54	53.7	36.06	46.11	38.14	29.01	24.97	23.82	24.28	31.85	62.72	31.89	34.18	17.71	30.85	23.41	18.04	27.09	14.05	22.38
7.25	-4.25	57.5	50.82	91.79	32.92	72.81	49.46	49.38	47.2	30.91	25.02	22.82	24.18	26.24	32.96	67.73	27.35	33.74	23.81	28.47	27.04	20.5	29.44	16.55	23.71
7.25	-3.75	73.17	42.26	64.37	44.89	53.81	65.53	80.51	49.54	41.33	29.1	21.38	24.53	26.47	30.84	67.17	21.57	31.13	33.17	26.9	29.18	22.02	29.9	21.83	27.93
7.25	-3.25	69.54	63.71	93.02	77.98	88.52	33.9	67.06	67.21	42.91	29.26	21.4	28.19	24.77	24.12	62.68	29.14	37.88	33.33	23.84	27.21	22.61	29.86	22.51	28.57
7.25	-2.75	78.09	62.52	99.97	70.78	69.33	37.44	76.71	63.85	44.08	24.54	22.96	27.9	25.92	18.76	57.06	31.58	33.77	26.26	25.64	27.11	23.24	29.98	19.73	24.35
7.25	-2.25	67.72	53.64	120.21	60.07	68.89	32.26	75.24	58.86	41.72	24.7	23.28	31.07	27.03	19.16	47.64	35.57	26.74	19.62	27.46	26.73	25.86	28.25	16.6	23.89
7.25	-1.75	45.18	53.44	147.38	75.3	88.88	38.66	62.12	58.42	36.8	24.49	22.51	33.59	26.26	19.94	37.85	41.2	22.69	19.95	28.01	25.82	27.81	30.63	18.88	22.22
7.25	-1.25	59.16	77.65	121.57	88.21	48.92	53.21	67.75	70.09	42.6	24.73	22.09	33.03	25.94	20.35	37.22	40.92	22.84	20.31	27.62	26.03	29.02	30.81	18.15	21.2
7.25	-0.75	81.94	63.79	71.5	57.28	31.25	52.18	57.28	45.62	39.97	26.67	17.53	35.17	21.16	22.33	23.96	50.11	26.17	25.42	24.97	23.83	29.48	33.61	16.47	17.27
7.25	-0.25	84.95	74.67	81.38	53.62	38.27	52.28	43.36	43.99	33.68	29.06	17.31	35.47	21.98	26.17	23.61	44.33	33.52	29.7	21.73	19.57	27.77	34.18	16.79	16.67
7.25	0.25	69.37	74.35	80.16	73.79	39.81	60.58	50.54	42.88	29.09	29.64	19.37	28.24	22.51	30.86	23.19	32.15	35.95	27.43	17.14	17.53	34.13	31.33	21.14	28.42
7.25	0.75	45.33	50.21	70.08	76.53	52.62	58.77	70	38.61	24.97	33.83	19.04	24.18	22.22	34.45	29.71	29.16	36.47	30.73	18.04	19.15	35.65	29.65	23.93	39.48
7.25	1.25	53.74	60.78	55.74	60.57	100.1	89.76	67.55	32.37	24.9	33.68	19.74	24.75	25.67	34.03	27.42	31.65	40.15	32.5	19.16	18.98	36.9	31.1	23.1	38.24
7.25	1.75	48.15	38.36	58.89	57.62	83.31	84.49	71.87	31.66	23.25	31.52	16.81	26.43	24.7	35.15	34.39	31.61	38.79	30.81	17.23	20.12	37.8	26.59	25.97	39.17
7.25	2.25	41.39	54.27	43.73	68.78	95.82	75.46	52.8	51.92	23.42	29.15	22.1	26.66	34.04	39.77	34.85	38.48	38.99	26.3	39.89	24.98	33.24	31.25	31.95	26.46
7.25	2.75	48.34	69.67	64.04	102.12	89.59	64.39	65.18	77.44	25.02	27.24	28.52	32.1	41.89	48.75	44.56	52.86	38.31	73.34	64.74	38.53	39.36	36.61	42.87	25.55
7.25	3.25	58.52	70.49	82.2	110	71.09	63.97	65.07	74.38	29.92	26.55	33.5	43.23	42.81	57.15	51.03	68.72	37.33	132.27	79.12	47.88	49.01	39.78	48.43	34.18
7.25	3.75	75.99	52.61	108.45	89.67	88.12	58.64	51.27	48.09	34.94	32.67	39.16	49.29	37.72	57.17	50.26	79.32	38.02	160.97	77.61	49.19	50.78	41.8	46.65	37.97
7.25	4.25	77.6	53.85	113.61	69.76	95.27	100.91	54	54.5	37.07	37.13	43.61	51.88	33.99	51.87	46.43	90.23	38.59	142.63	70.34	42.91	48.54	38.94	40.6	36.61
7.25	4.75	67.5	57.45	86.17	75.25	107.35	100.24	54.23	55.6	34.14	31	41.41	40.62	29.78	50.1	37.76	81.06	38.97	95.53	50.48	41.81	48.05	46.26	32.4	35.32
7.25	5.25	60.02	55.62	86.16	99.89	138.33	84.26	51.72	46.21	30.3	18.6	34.44	24.2	26.25	48.68	36.4	57.72	58.98	76.29	40.78	37.54	72.8	47.84	34.7	47.3
7.25	5.75	58.86	52.49	84.5	100.21	132.73	64.92	60.62	47.68	26.99	14	35.34	24.61	31.49	48.83	33.13	44.63	86.15	56.1	43.74	30.95	98.24	42.6	38.98	60
7.25	6.25	43.45	41.14	73.19	95.99	93.1	49.76	69.68	46.65	50.37	15.34	40.19	21.84	32.75	44.65	31.56	36.35	108.94	53.93	38.4	24.78	105.17	39.08	37.04	56.61
7.25	6.75	41.73	43.21	131.06	63.69	67.29	70.41	96.96	41.56	91.39	18.87	40.95	19.36	33.83	44.76	32.59	33.29	114.34	55.1	31.81	24.65	102.19	34.44	36.34	55.44
7.25	7.25	37.52	50.82	138.84	52.82	46.68	71.36	101.42	35.07	91.49	23.93	33.71	20.04	32.35	39.84	30.78	25.27	105.64	51.16	27.74	25.3	82.53	29.29	35.88	53.38
7.25	7.75	32.77	57.05	94.21	37.31	34.51	63.84	78.59	26.61	63.44	26.5	23.05	21.88	28.42	31.24	25.28	20.69	86.33	45.38	29.79	25.56	53.89	33.03	36.09	58.43
7.25	8.25	31.89	66.14	48.41	27.04	28.2	76.12	62.51	23.91	30.77	30.42	22.39	24.69	24.69	31.6	23.74	21.02	63.58	40.5	29.88	24.72	28.04	35.88	38.79	55.25
7.25	8.75	30.71	83.3	52.54	57.64	31.68	88.82	82.94	23.21	35.86	29.53	20.75	28.34	26.39	31.8	26.19	21.98	48.35	38.69	30.81	28.29	31.64	35.48	45.94	61.4
7.25	9.25	32.37	64.14	45.83	65.64	39.66	69.22	82.34	30.01	30.73	26.93	26.07	29.63	28.49	32.99	23.51	24.04	40.62	34.6	30.49	34.4	32.61	38.48	48.34	62.2
7.25	9.75	29.23	60.42	34.2	47.99	38.23	42.9	82.94	36.66	30.61	26.16	28.36	30.51	30.85	36.38	20.23	25.8	32.97	32.51	31.1	40.88	29.02	41.77	46.39	62.35
7.25	10.25	30.79	49.96	44.33	53.88	38.76	39.21	85.07	38.28	36.47	36.63	26.04	29.09	28.58	32.94	22.29	25.44	40.78	36.97	34.18	40.72	37.86	39.96	40.8	57.13
7.25	10.75	34.89	61.2	54.01	58.22	42.1	62.75	76.98	45.33	44.79	41.58	24.59	27.34	25.7	31.71	24.05	30.52	45.79	37.14	38.17	37.1	42.29	39.58	35.33	66.49
7.75	-16.75	49.81	86.8	101.83	59.8	55.13	126.54	153.5	58.99	89.61	40.67	56.52	44.44	50.78	74.79	39.37	63.26	51.54	71.69	58.28	42.93	36.43	66.79	45.14	46.28
7.75	-16.25	76.35	102.65	90.43	61.75	57.75	65.37	167.52	60.6	65.77	43.38	54.57	43.79	46.57	82.92	41.69	54.13	55.67	63.67	59.22	39.29	43.39	57.37	51.41	38.27
7.75	-15.75	81.84	102.85	68.22	66.58	56.95	75.85	80.57	67.81	55.6	43.65	63.59	68.91	55.98	72.9	53.04	48.92	53.91	57.31	61.54	36.66	36.54	48.78	89.2	41.1
7.75	-15.25	133.18	69.73	86.2	78.9	97.08	149.73	103.85	79.41	54.31	45.73	76.29	90.26	62.72	62.77	66.46	51.57	52.51	57.55	64.08	43.81	42.17	53.43	117.64	47.54
7.75	-14.75	143.66	61.28	90.46	81.65	155.78	179.68	193.78	112.03	76.54	52.49	86.88	105.32	66.72	72.89	75.63	57.15	52.11	53.01	66.16	50.08	45.5	55.05	137.61	56.86
7.75	-14.25	136.84	83.39	178.25	135.49	217.48	139.68	275.12	197.38	135.77	60.66	95.82	114.93	68.48	80.45	83.05	69.43	53.94	47.02	67.87	55.69	46.54	60.11	155.27	68.28
7.75	-13.75	215.37	116.77	352.96	280.19	251.37	128.61	330.53	343.52	206.87	75.85	107.82	123.34	68.29	98.06	106.34	95.52	59.91	62.88	81.59	69.36	46.01	63.97	182.05	90.82
7.75	-13.25	190.68	138.85	510.33	511.73	227.04	113.92	177.49	494.06	187.94	72.47	101.49	103.56	49.86	77.8	99.63	83.84	63.45	52.42	69.32	91.56	33.08	42.9	132.53	82.7
7.75	-12.75	162.15	145.35	552.94	523.84	172.94	163.88	167.97	527.02	166.28	69.77	111.87	91.52	36.66	66.44	109.15	60.07	51.5	37.78	44.55	78.79	26.67	28.64	79.71	59.36
7.75	-12.25	115	145.98	485.02	470.06	166.94	209.67	162.02	540.24	152.02	67.21	103.05	72.38	35.76	61.57	114.31	57.78	37.39	22.28	24.81	51.79	18.8	23.25	41.6	41.59
7.75	-11.75	103.63	135.38	367.4	382.07	145.91	217.96	132.19	536.92	141.52	76.6	89.55	88.79	40.07	66.1	132.65	63.68	28.95	22.4	20.36	45.73	15.78	35.49	33.25	48.25
7.75	-11.25	62.79	97.47	317.51	169.65	228.37	298.63	89.38	425.63	141.85	77.67	84.9	88.17	40.9	74.03	129.17	61.8	28.51	20.02	20.97	41.58	15.83	40.48	32.36	46.38
7.75	-10.75	59.55	70.75	309.99	99.52	279.32	366.48	79.03	254.5	137.43	78.75	80.93	87.15	42.92	100.08	119.47	68.57	29.18	22.39	22.9	39.62	17.75	47.44	25.14	51
7.75	-10.25	71.79	84.95	207	124.96	202.62	314.01	69.53	201.16	118.76	72.41	63.15	75.49	38.14	97.44	101.28	69.21	30.52	22.84	23.52	39.95	19.74	42.08	33.89	54.1
7.75	-9.75	97.93	123.08	158.67	117.23	103.49	205.86	95.84	131.82	89.38	62.06	48.29	60.55	30.08	83.46	73.69	69.62	31.07	22.26	22.81	39.73	21.21	36.41	43.64	56.78
7.75	-9.25	97.3	144.23	94.13	114.03	72.12	117.56	97	102.77	80.55	50.77	47.73	61.77	35.77	60.03	54.95	72.65	30.41	20.63	20.76	36.67	21.18	46.18	47.68	54.96
7.75	-8.75	69.97	132.86	59.6	92.27	59.88	95.74	83.17	101.64	82.17	48.23	51.59	70.82	41.48	43.43	46.87	78.08	29.16	17.95	17.32	36.49	18.38	45	45.21	49.61
7.75	-8.25	59.28	118.2	70.89	77.69	65.15	85.22	91.5	111.84	59.27	45.9	52.91	69.16	40.83	41.23	48.34	80.01	27.36	15.62	14.27	35.99	17.03	40.57	43.52	45.26
7.75	-7.75	47.39	130.67	71.6	77.47	74.77	86.23	125.39	89.35	44.16	40.14	42.41	58.45	37.12	41.75	42.25	70.18	33.96	16.05	14.41	31.26	15.85	34.14	34.24	36.76
7.75	-7.25	42.43	137.31	72.6	79.1	64.88	80.69	137.88	66.04	45.99	33.31	33.35	43.87	31.3	43.34	29.15	51.73	41.44	16.51	17.91	23.27	24.49	27.73	23.5	27.21
7.75	-6.75	41.15	107.75	77.41	77.55	52.51	55.11	118.67	77.11	41.44	32.55	29.77	30.34	24.66	41.03	18.49	32.05	44.86	18.38	25.11	33.52	31.82	21.7	23.59	23.06
7.75	-6.25	53.91	58.68	82.13	58.76	49.65	48.58	86.69	71.21	36.08	39.73	30.57	22.49	18.83	36.07	24.47	37.11	41.87	23.08	33.38	41.83	30.4	21.16	23.91	28.12
7.75	-5.75	56.46	63.67	71.13	43.72	58.62	51.15	62.55	63	61.39	37.41	26.3	22.11	20.52	31.64	38.09	39.35	34.7	17.09	34.75	34.12	27.33	21.68	21.15	27.49
7.75	-5.25	63.72	61.25	87.14	37.02	82.37	77.61	63.34	58.5	77.91	35.46	24.04	22.4	23.07	32.14	45.13	39.78	31.73	17.61	34.71	29.48	28.36	24.14	22.28	30.43
7.75	-4.75	72.27	44.75	107.86	37.13	85.64	72.06	68.67	56.29	68.17	33.08	23.6	22.66	24.74	31.84	49.33	37.82	29.87	18.13	34.13	31.98	29.15	25.86	23.72	30.26
7.75	-4.25	81.44	60.39	95.12	41.86	68.24	43.16	56.55	56.26	37.86	29.28	21.51	22.92	25.51	33.39	51.47	32.22	27.08	22.24	33.97	34.68	30.01	25.39	26.89	27.02
7.75	-3.75	145.01	77.83	47.93	43.16	70.37	62.18	79.14	51.61	41.31	30.35	27.28	23.83	24	32.74	49.47	21.27	29.48	33.28	35.3	32.48	30.88	25.16	33.09	26.34
7.75	-3.25	95.21	68.83	50.14	85.24	89.37	37.87	60.55	54.26	47.23	27.72	24.59	24.44	22.93	27.16	45.89	21.96	33.15	34.07	35.37	30.29	28.23	27.76	31.85	24.6
7.75	-2.75	121.97	52.76	59.07	77.57	74.82	41.53	69.53	50.29	46.79	25.29	19.44	24.48	25.69	23.19	42.25	33.58	28.15	25.06	30.92	34.11	22.94	26.8	25.71	22.22
7.75	-2.25	106.31	63.56	69.35	67.34	75.02	40.9	69.99	46.97	43.95	23.53	18.64	26.64	34.91	21.84	36.94	48.97	22.8	18.7	27.09	35.32	27.24	24.21	19.56	23.67
7.75	-1.75	51.88	129.02	75.9	59.32	90.83	49.46	61.47	46.24	39.35	23.47	18.04	29	35.7	22.42	31.3	52.79	22.5	21.67	26.54	34.35	30.23	22.62	17.34	23.78
7.75	-1.25	88.75	125.18	66.72	60.92	50.47	60.28	79.16	33.93	38.96	23.56	17.66	28.64	36.33	22.43	29.59	53.45	22.04	22.13	25.89	35.5	29.92	22.97	16.98	22.76
7.75	-0.75	67.13	71.13	62.96	62.45	41.26	49.26	66.8	36.72	41.53	30.43	15.44	35.31	33.19	23.61	21.61	48.58	27.45	43.19	28.54	34.23	31.29	25.52	16.3	21.28
7.75	-0.25	57.69	108.55	82.73	59.29	42.44	54.52	45.75	43.44	38.52	31.69	16.78	36.65	32.06	27.79	22.62	36.92	35.68	43.82	26.49	28.46	31.22	25.77	17.59	18.98
7.75	0.25	59.76	108.3	93.31	67.63	48.25	55.73	58.47	42.2	31.43	29.51	18.25	30.8	28.81	33.38	30.57	27.83	37.3	34.52	21.19	19.69	33.09	23.51	20.7	32.86
7.75	0.75	56.99	78.09	90.27	75.29	52.38	68	81.8	44.7	28.1	33.17	18.3	25.32	24.85	38.01	41.19	31.11	38	30.67	18.28	20.72	32.7	21.95	24.82	44.25
7.75	1.25	60.27	176.09	72.17	78.95	91.56	98.93	81.64	32.17	28.77	32.54	18.18	26.54	27.07	38.57	37.36	32.55	40.83	32.04	20.36	21.95	33.39	22.38	25.09	43.06
7.75	1.75	56.81	94.33	75.95	60.54	85.83	96.32	84.84	31.99	24.93	33.12	17.15	27.24	23.76	39.34	50.61	32.23	37.53	22.38	19.39	21.11	32.95	20.06	29.25	45.13
7.75	2.25	51.91	122.53	55.46	68.15	99.85	78.83	62.29	48.16	24.89	31.92	21.82	28.4	26.91	41.66	47.14	33	34.51	32.79	28.07	26.22	29.93	22.46	25.99	31.69
7.75	2.75	52.61	110.67	79.66	92.15	119.2	73.51	53.85	56.83	27.82	29.06	25.95	31.5	31.66	44.22	34.41	47.66	38.04	71.59	44.14	30.43	27.12	25.27	30.5	25.14
7.75	3.25	62.68	94.83	97.9	89.37	121.16	64.84	51.27	44.8	35.4	25.88	26.81	35.24	33.17	50.61	28.63	63.18	42.51	130.02	53.36	32.59	33.9	29.79	35.72	31.91
7.75	3.75	67.79	65.95	92.5	65.5	88.53	49.54	35.07	39.72	38.7	26.14	27.08	39.86	31.63	51.11	32.25	72.96	44.78	162.51	50.57	32.37	36.53	31.09	36.17	36.16
7.75	4.25	68.88	57.98	83.21	47.14	93.52	66.19	45.26	47.51	33.11	31.05	29.24	41.29	31.56	47.1	35.45	77.3	42.94	136.97	41.4	32.64	36.41	31.49	36.03	39.47
7.75	4.75	72.43	64	98.82	52.91	129.25	70.36	53.69	45.71	32.54	28.43	28.65	32.93	27.54	43.18	36.25	66.12	39.48	85.87	34.88	33.57	40.89	30.9	32.67	44.61
7.75	5.25	75.51	68.79	128.5	78.84	143.87	72.97	60.28	53.28	35.91	19.25	29.83	23.86	20.76	38.57	33.88	58.34	40	44.19	34.99	32.7	65.11	31.25	33.16	51.2
7.75	5.75	65.68	64.17	127.69	84.03	126.5	67.57	61.15	53.31	35.33	17.44	28.46	24.38	23.77	32.97	29.96	68.22	58.29	38.73	35	29.31	87.96	31.65	36.2	65.23
7.75	6.25	42.2	50.57	120.79	65.5	60.53	46.1	52.72	43.23	47.3	19.02	25.46	22.03	21.76	28.14	28.55	55.19	75.93	40.9	30.53	23.47	94.07	29.39	31.78	60.73
7.75	6.75	41.65	39.78	203.25	62.44	40.89	41.91	62.73	36.56	89.71	18.87	24.17	19.47	23.39	33.17	29.25	49.09	84.13	42.09	25.88	21.54	91.46	27.1	31.21	58.49
7.75	7.25	34.07	72.65	214.38	58.98	33.73	56.72	82.38	33.6	94.69	24.99	20.36	20.04	24.77	30.76	28.39	36.91	85.26	42.21	25.45	20.78	73.9	27.32	31.78	55.5
7.75	7.75	29.29	95.86	147.35	44.78	28.84	62.36	79.89	26.2	67.6	40.05	16.26	22.63	24.19	22.37	24.61	26.61	79.5	41.13	27.51	19.96	48.29	28.13	32.9	51.57
7.75	8.25	39.79	110.23	84.55	35.07	33.05	68.04	64.2	23.29	27.28	51.2	16.72	26.11	24.11	24.86	19.87	24.74	68.71	39.47	29.56	18.87	25.03	30.82	36.54	49.95
7.75	8.75	42.61	112.78	102.49	53.1	36.93	71.5	82.79	31.81	27.53	51.08	18.38	29.57	23.19	30.91	19.98	23.17	56.47	38.6	28.39	18.96	23.61	28.96	39.11	54.1
7.75	9.25	41.21	119.51	96.17	58.3	39.72	39.72	83.31	36.87	23.79	44.2	20.68	30.36	22.07	36.78	16.73	22.7	47.31	34.92	27.54	19.86	24.64	29.3	39.81	59.06
7.75	9.75	32.02	109.95	76.05	83.82	39.2	32.21	92.57	42.12	19.46	33.92	22.09	30.82	20.78	39.77	18.54	22.01	37.59	37.96	27.11	24.83	25.59	31.95	42.99	63.06
7.75	10.25	34.13	99.91	54.42	89.97	44.27	49	83.54	51.71	22.24	28.37	23.11	30.65	20.6	37.89	23.16	22.34	34.06	41.59	39.63	31.12	28.49	37.06	47.14	63.98
7.75	10.75	38	119.68	53.68	69.51	64.88	59.72	59.41	60.53	33.59	35.88	22.8	28.62	23.13	30.52	26.65	27.99	37.6	39.33	50.4	30.04	31.76	44.18	47.01	59.57
8.25	-16.75	59.11	42.3	91.87	62.19	66.95	101.19	168.85	62.58	95.23	57.22	57.66	45.31	44.02	54.2	45.97	58.52	49.7	64.14	59.96	42.41	42.89	66.15	50.25	49.35
8.25	-16.25	69.13	66.73	121.27	62.52	44.32	57.18	119.94	57.59	63.67	62.21	68.88	44.87	50.01	63	51.8	49.53	55.66	48.66	65.32	43.48	52.19	53.97	48.98	40.24
8.25	-15.75	104.47	88.68	87.3	73.4	62.54	86.53	67.52	63.79	63.13	63.45	75.49	65.69	60.98	62.95	55.9	48.21	57.83	51.63	70.05	48.17	48.95	56.72	74.45	37.96
8.25	-15.25	150.61	98.85	136.4	74.03	158.74	149.98	112.94	104.45	81.4	64.29	82.8	105.57	73.36	67.68	84.67	46.13	57.6	44.91	77.78	50.66	39.41	64.86	112.29	49.67
8.25	-14.75	158.2	86.43	128.15	74.82	254.78	181.15	243.76	152.3	97.76	64.52	119.85	150.18	83.08	90.79	115.38	54.66	60.9	44.15	87	62.02	39.59	71.65	147.34	67.17
8.25	-14.25	210.28	71.19	169.2	125.39	300.59	150.91	360.8	179.11	129.78	67.31	147.78	182.06	86.08	107.76	132.36	70.02	62.34	54.01	94.98	71.11	43.21	73.37	171.15	81.85
8.25	-13.75	326.88	112.69	332.48	260.82	250.52	135.16	352.81	245.4	183.2	73.66	140.01	180.56	78.24	109.11	123	91.94	63.41	68.92	97.76	92.09	43.15	66.3	178.33	95.6
8.25	-13.25	343.65	118.37	524.65	486.9	184.94	168.88	192.38	352.98	202.31	68.3	108.68	125.72	55.02	103.76	107.67	85.07	59.46	65.32	85.79	100.52	44.4	54.01	131	86.37
8.25	-12.75	290.03	102.28	609.06	591.3	222.11	158.98	318.62	399.3	204.43	65.24	112.24	118.2	39.6	108.65	113.37	66.42	53.59	51.46	65.94	80.52	38.08	39.99	87.09	65.36
8.25	-12.25	183.31	97.23	521.21	518.68	205.35	135.11	328.35	427.67	176.04	74.47	107.91	94.27	31.04	112.96	132.8	51.69	43.67	31.18	40.84	66.04	26.45	25.8	51.04	38.4
